STRUCTURE,STRUCTURE_ID,ACTION,FREQ,FREQ_LABEL,REF_AREA,REF_AREA_LABEL,INDICATOR,INDICATOR_LABEL,SEX,SEX_LABEL,AGE,AGE_LABEL,URBANISATION,URBANISATION_LABEL,UNIT_MEASURE,UNIT_MEASURE_LABEL,COMP_BREAKDOWN_1,COMP_BREAKDOWN_1_LABEL,COMP_BREAKDOWN_2,COMP_BREAKDOWN_2_LABEL,COMP_BREAKDOWN_3,COMP_BREAKDOWN_3_LABEL,TIME_PERIOD,OBS_VALUE,AGG_METHOD,AGG_METHOD_LABEL,DECIMALS,DECIMALS_LABEL,DATABASE_ID,DATABASE_ID_LABEL,COMMENT_TS,UNIT_MULT,UNIT_MULT_LABEL,DATA_SOURCE,DATA_SOURCE_LABEL,UNIT_TYPE,UNIT_TYPE_LABEL,TIME_FORMAT,TIME_FORMAT_LABEL,COMMENT_OBS,OBS_STATUS,OBS_STATUS_LABEL,OBS_CONF,OBS_CONF_LABEL
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,Annual,ECS,Europe & Central Asia,WB_WDI_SL_UEM_TOTL_ZS,"Unemployment, total (% of total labor force) (modeled ILO estimate)",_T,Total,_T,All age ranges or no breakdown by age,_T,Total,PT_LF,Percentage of labor force,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,1991,6.887755315113155,_Z,Not Applicable,2,Two,WB_WDI,World Development Indicators (WDI),"Unemployment, total (% of total labor force) (modeled ILO estimate)",0,Units,WB_WDI,World Development Indicators (WDI),RATIO,Ratio,P1Y,Annual,,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,Annual,ECA,Europe & Central Asia (excluding high income),WB_WDI_SL_UEM_TOTL_ZS,"Unemployment, total (% of total labor force) (modeled ILO estimate)",_T,Total,_T,All age ranges or no breakdown by age,_T,Total,PT_LF,Percentage of labor force,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,1991,4.442878924332591,_Z,Not Applicable,2,Two,WB_WDI,World Development Indicators (WDI),"Unemployment, total (% of total labor force) (modeled ILO estimate)",0,Units,WB_WDI,World Development Indicators (WDI),RATIO,Ratio,P1Y,Annual,,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,Annual,TEC,Europe & Central Asia (IDA & IBRD),WB_WDI_SL_UEM_TOTL_ZS,"Unemployment, total (% of total labor force) (modeled ILO estimate)",_T,Total,_T,All age ranges or no breakdown by age,_T,Total,PT_LF,Percentage of labor force,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,1991,5.885162720264165,_Z,Not Applicable,2,Two,WB_WDI,World Development Indicators (WDI),"Unemployment, total (% of total labor force) (modeled ILO estimate)",0,Units,WB_WDI,World Development Indicators (WDI),RATIO,Ratio,P1Y,Annual,,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,Annual,EUU,European Union,WB_WDI_SL_UEM_TOTL_ZS,"Unemployment, total (% of total labor force) (modeled ILO estimate)",_T,Total,_T,All age ranges or no breakdown by age,_T,Total,PT_LF,Percentage of labor force,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,1991,8.58763776597261,_Z,Not Applicable,2,Two,WB_WDI,World Development Indicators (WDI),"Unemployment, total (% of total labor force) (modeled ILO estimate)",0,Units,WB_WDI,World Development Indicators (WDI),RATIO,Ratio,P1Y,Annual,,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,Annual,FCS,Fragile and conflict affected situations,WB_WDI_SL_UEM_TOTL_ZS,"Unemployment, total (% of total labor force) (modeled ILO estimate)",_T,Total,_T,All age ranges or no breakdown by age,_T,Total,PT_LF,Percentage of labor force,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,1991,4.509501591430697,_Z,Not Applicable,2,Two,WB_WDI,World Development Indicators (WDI),"Unemployment, total (% of total labor force) (modeled ILO estimate)",0,Units,WB_WDI,World Development Indicators (WDI),RATIO,Ratio,P1Y,Annual,,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,Annual,HPC,Heavily indebted poor countries (HIPC),WB_WDI_SL_UEM_TOTL_ZS,"Unemployment, total (% of total labor force) (modeled ILO estimate)",_T,Total,_T,All age ranges or no breakdown by age,_T,Total,PT_LF,Percentage of labor force,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,1991,5.119568268252437,_Z,Not Applicable,2,Two,WB_WDI,World Development Indicators (WDI),"Unemployment, total (% of total labor force) (modeled ILO estimate)",0,Units,WB_WDI,World Development Indicators (WDI),RATIO,Ratio,P1Y,Annual,,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,Annual,HIC,High income,WB_WDI_SL_UEM_TOTL_ZS,"Unemployment, total (% of total labor force) (modeled ILO estimate)",_T,Total,_T,All age ranges or no breakdown by age,_T,Total,PT_LF,Percentage of labor force,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,1991,6.579811171813913,_Z,Not Applicable,2,Two,WB_WDI,World Development Indicators (WDI),"Unemployment, total (% of total labor force) (modeled ILO estimate)",0,Units,WB_WDI,World Development Indicators (WDI),RATIO,Ratio,P1Y,Annual,,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,Annual,IBD,IBRD only,WB_WDI_SL_UEM_TOTL_ZS,"Unemployment, total (% of total labor force) (modeled ILO estimate)",_T,Total,_T,All age ranges or no breakdown by age,_T,Total,PT_LF,Percentage of labor force,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,1991,4.975250006342576,_Z,Not Applicable,2,Two,WB_WDI,World Development Indicators (WDI),"Unemployment, total (% of total labor force) (modeled ILO estimate)",0,Units,WB_WDI,World Development Indicators (WDI),RATIO,Ratio,P1Y,Annual,,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,Annual,IBT,IDA & IBRD total,WB_WDI_SL_UEM_TOTL_ZS,"Unemployment, total (% of total labor force) (modeled ILO estimate)",_T,Total,_T,All age ranges or no breakdown by age,_T,Total,PT_LF,Percentage of labor force,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,1991,4.824858093551666,_Z,Not Applicable,2,Two,WB_WDI,World Development Indicators (WDI),"Unemployment, total (% of total labor force) (modeled ILO estimate)",0,Units,WB_WDI,World Development Indicators (WDI),RATIO,Ratio,P1Y,Annual,,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,Annual,IDB,IDA blend,WB_WDI_SL_UEM_TOTL_ZS,"Unemployment, total (% of total labor force) (modeled ILO estimate)",_T,Total,_T,All age ranges or no breakdown by age,_T,Total,PT_LF,Percentage of labor force,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,1991,3.250072186853707,_Z,Not Applicable,2,Two,WB_WDI,World Development Indicators (WDI),"Unemployment, total (% of total labor force) (modeled ILO estimate)",0,Units,WB_WDI,World Development Indicators (WDI),RATIO,Ratio,P1Y,Annual,,A,Normal value,PU,Public
